CITY|SECTOR_ID|SECTOR_NAME|ENODEBID|ENODEB_NAME|EARFCN|PCI|PSS|SSS|TAC|VENDOR|LONGITUDE|LATITUDE|STYLE|AZIMUTH|HEIGHT|ELECTTILT|MECHTILT|TOTLETILT
sanxia|259620-1|E宝大中原-HLHF-2|259620|E宝大中原-HLHF|38400|221|||18836|华为|111.917|33.5358|宏站|120.0|43.0|6.0|3.0|9.0
sanxia|259620-2|E宝大中原-HLHF-3|259620|E宝大中原-HLHF|38400|220|||18836|华为|111.917|33.5358|宏站|250.0|43.0|6.0|3.0|9.0
sanxia|259621-0|E宝金灵批发部-HLHF-1|259621|E宝金灵批发部-HLHF|38400|452|||14435|华为|111.394|33.5231|宏站|330.0|15.0|6.0|3.0|9.0
sanxia|259621-1|E宝金灵批发部-HLHF-2|259621|E宝金灵批发部-HLHF|38400|450|||14435|华为|111.394|33.5231|宏站|75.0|15.0|6.0|3.0|9.0
sanxia|259621-2|E宝金灵批发部-HLHF-3|259621|E宝金灵批发部-HLHF|38400|451|||14435|华为|111.394|33.5231|宏站|230.0|15.0|6.0|3.0|9.0
sanxia|259622-0|E宝史村-HLHF-1|259622|E宝史村-HLHF|38400|8|||18838|华为|111.839|33.518|宏站|40.0|43.0|6.0|3.0|9.0
sanxia|259622-1|E宝史村-HLHF-2|259622|E宝史村-HLHF|38400|7|||18838|华为|111.839|33.518|宏站|140.0|43.0|6.0|3.0|9.0
sanxia|259622-2|E宝史村-HLHF-3|259622|E宝史村-HLHF|38400|6|||18838|华为|111.839|33.518|宏站|310.0|43.0|6.0|3.0|9.0
sanxia|259623-0|E宝大湖-HLHF-1|259623|E宝大湖-HLHF|38400|421|||18835|华为|111.609|33.4489|宏站|15.0|33.0|6.0|3.0|9.0
sanxia|259623-1|E宝大湖-HLHF-2|259623|E宝大湖-HLHF|38400|420|||18835|华为|111.609|33.4489|宏站|130.0|33.0|6.0|3.0|9.0
sanxia|259623-2|E宝大湖-HLHF-3|259623|E宝大湖-HLHF|38400|422|||18835|华为|111.609|33.4489|宏站|240.0|33.0|6.0|3.0|9.0
sanxia|259624-0|E宝布张-HLHF-1|259624|E宝布张-HLHF|38400|383|||18836|华为|111.967|33.5969|宏站|10.0|43.0|6.0|3.0|9.0
sanxia|259624-1|E宝布张-HLHF-2|259624|E宝布张-HLHF|38400|382|||18836|华为|111.967|33.5969|宏站|140.0|43.0|6.0|3.0|9.0
sanxia|259624-2|E宝布张-HLHF-3|259624|E宝布张-HLHF|38400|381|||18836|华为|111.967|33.5969|宏站|240.0|43.0|6.0|3.0|9.0
sanxia|259625-0|E宝程村-HLHF-1|259625|E宝程村-HLHF|38400|310|||14355|华为|111.599|33.5181|宏站|0.0|28.0|6.0|3.0|9.0
sanxia|259625-1|E宝程村-HLHF-2|259625|E宝程村-HLHF|38400|309|||14355|华为|111.599|33.5181|宏站|120.0|28.0|6.0|3.0|9.0
sanxia|259625-2|E宝程村-HLHF-3|259625|E宝程村-HLHF|38400|311|||14355|华为|111.599|33.5181|宏站|240.0|28.0|6.0|3.0|9.0
sanxia|259626-0|D县五原-HLHF-1|259626|D县五原-HLHF|38400|355|||14387|华为|112.05|33.6688|宏站|55.0|30.0|6.0|3.0|9.0
sanxia|259626-1|D县五原-HLHF-2|259626|D县五原-HLHF|38400|354|||14387|华为|112.05|33.6688|宏站|160.0|30.0|6.0|3.0|9.0
sanxia|259626-2|D县五原-HLHF-3|259626|D县五原-HLHF|38400|356|||14387|华为|112.05|33.6688|宏站|325.0|30.0|6.0|3.0|9.0
sanxia|259627-0|B马煤气化三期-HLHF-1|259627|B马煤气化三期-HLHF|38400|225|||14467|华为|112.948|33.7219|宏站|10.0|43.0|6.0|3.0|9.0
sanxia|259627-1|B马煤气化三期-HLHF-2|259627|B马煤气化三期-HLHF|38400|226|||14467|华为|112.948|33.7219|宏站|120.0|43.0|6.0|3.0|9.0
sanxia|259627-2|B马煤气化三期-HLHF-3|259627|B马煤气化三期-HLHF|38400|227|||14467|华为|112.948|33.7219|宏站|180.0|43.0|6.0|3.0|9.0
